key,en,fr
ok,Ok,Ok
cancel,Cancel,Annuler
valid,Valid,Valider
continue,Continue,Continuer
restart,Restart,Recommencer
reset,Reset,Réinitialiser
main-menu,Main menu,Menu principal
export,Export,Exporter
import,Import,Importer
save,Save,Sauvegarder
delete,Delete,Supprimer
all,All,Tous
dont-show-again,Don't show again.,Ne plus afficher
view,View,Voir
view-test,View the test,Voir le test
edit,Edit,Éditer
duplicate,Duplicate,Dupliquer
duplicate-suffix," (copy)"," (copie)"
play,Play,Démarrer
eval,Be evaluate,S'évaluer
language,Language: ,Langue: 
loading,Loading,Chargement
link,Link,Lien
link-copied,Link copied,Lien copié
more-informations,More informations,Plus d'informations
settings,Settings,Paramètres
erase,Erase,Écraser
quit,Quit,Quitter
update,Update,Mettre à jour
verify-update,Check updates,Rechercher les mises à jour
no-connection,No connection.,Pas de connexion.
user,user,utilisateur
group,group,groupe
legal-text,"<p>Data stored by your navigator is for a <b>local use only</b> and necessary for the application. The data stored is <b>never transmit to a third server</b>. Your are the only owner of your data, so, you are responsible of the security of yours data.</p><p>The usage of cookies and similar mechanisms are <b>essential</b> to the application.</p>","<p>Les données stockées par votre navigateur ne sont destiné qu'à un <b>usage local</b> pour les besoins de l'application. Les données stockées ne sont <b>transmis à aucun serveur tiers</b>. Vous êtes le seul détenteur de vos données, ainsi, vous êtes le seul responsable de la sécurité de vos données.</p><p>L'utilisation de cookies et mécanismes similaires sont <b>indispensables</b> pour le bon fonctionnement du site web.</p>"
about-text,"<h1>DIAKÔLUÔ V<x-i18n key=""version""></x-i18n> (<x-i18n key=""id""></x-i18n>)</h1><h3>WHAT IS DIAKÔLUÔ ?</h3><p>Diakôluô îs an open-source project in order to help memorize.</p><h3>THE CODE</h3><p>The code is by: <x-i18n key=""authors""></x-i18n> The code is available on <a href=""https://github.com/AntoninLoubiere/WebDiakoluo"" class=""open-new-icon github-link"">GitHub</a> under the <a class=""open-new-icon"" href=""https://www.gnu.org/licenses/agpl-3.0.html"">GNU APGL</a> license.<br>You can report a <b>bug</b> or demand <b>features</b> on <a href=""https://github.com/AntoninLoubiere/WebDiakoluo/issues/new/choose"" class=""open-new-icon github-link"">GitHub</a>.<br></p>","<h1>DIAKÔLUÔ V<x-i18n key=""version""></x-i18n> (<x-i18n key=""id""></x-i18n>)</h1><h3>QU'EST DIAKÔLUÔ ?</h3><p>Diakôluô est un projet open-source dans le but d'aider à la révision.</p><h3>LE CODE</h3><p>Le code a été fait par: <x-i18n key=""authors""></x-i18n> Le code est disponible sur <a href=""https://github.com/AntoninLoubiere/WebDiakoluo"" class=""open-new-icon github-link"">GitHub</a> sous la license <a class=""open-new-icon"" href=""https://www.gnu.org/licenses/agpl-3.0.html"">GNU APGL</a>.<br>Vous pouvez reporter un <b>bogue</b> ou proposer une <b>fonctionalité</b> sur <a href=""https://github.com/AntoninLoubiere/WebDiakoluo/issues/new/choose"" class=""open-new-icon github-link"">GitHub</a>.<br></p>"
list-test-recent,Recent tests:,Tests récents :
list-test-local,Your local tests:,Vos tests locaux :
list-test-empty-section,No test available,Aucun test disponible
list-test-sync,Your synchronised tests:,Vos tests synchronisés :
list-test-sync-owner,Created by you:,Créés par vous :
list-test-sync-user,Shared by the user:,Partagés par l'utilisateur :
list-test-sync-group,Shared to the group:,Partagés sur le groupe :
list-test-sync-link,Shared by link:,Partagés par lien :
title,Title,Titre
description,Description,Description
columns,Columns,Colonnes
created-date,Created,Crée
modification-date,Modified,Modifié
data,Data,Données
data-number,Data n°,Donnée n°
edited-test,Current edited test,Test édité actuellement
add-column,Add a column,Ajouter une colonne
add-data,Add a data,Ajouter une donnée
add-test,Add a test,Ajouter un test
import-test,Import a test,Importer un test
show-columns,Columns to show,Colonnes à afficher
random-columns,Random columns,Colonnes aléatoires
ask-columns,Columns to ask,Colonnes à demander
hide-columns,Columns to hide,Colonnes à cacher
number-columns-random,Number of random columns to show (other will be asked), Nombre de colonnes aléatoire à afficher (les autres seront demandées)
play-card-column-name,Show column name,Afficher le nom des colonnes
play-card-random-side,Randomly invert side shown,Inverser aléatoirement le coté affiché
play-card-end,The End. It's finish.,La Fin. C'est terminé
settings-general,Application,Application
settings-appearance,Appearance,Affichage
settings-version-title,Version,Version
settings-version-message,Current version,Version actuelle
settings-last-update,Last version available,Dernière version disponible
settings-downloading,Downloading...,Téléchargement en cours...
settings-installing,Installing...,Installation en cours...
settings-no-update,No update to do.,Aucune mise à jour à faire.
settings-updated,"Updated, the page will regresh in a few seconds.","Mise à jour terminé, la page va se reafraîchir dans quelques secondes."
settings-cant-update,An error occur while updating.,Une erreur est survenue lors de la mise à jour.
settings-theme,Theme,Thème
settings-theme-light,Light theme,Thème clair
settings-theme-auto,Auto theme,Thème automatique
settings-theme-dark,Dark theme,Thème sombre
settings-sync,Synchronisation,Synchronisation
settings-sync-title,Synchronisation server,Serveur de synchronisation
settings-sync-host,Server URL,URL du serveur
settings-sync-username,Username,Nom d'utilisateur
settings-sync-password,Password,Mot de passe
settings-sync-loading,Connection in progress.,Connexion en cours.
settings-sync-success,Connected with success.,Connecté avec succés.
settings-sync-error,An error occur during the connection.,Une erreur est survenue lors de la connexion.
settings-sync-login-failed,An error occur during the authentification.,Une erreur est survenue lors de l'authentification.
settings-sync-deleted,Synchronisation account deleted.,Compte de synchronisation supprimé.
sync,Synchronisation,Synchronisation
sync-id,Id,Identifiant
sync-perms,Permissions,Permissions
perm-none,restricted,restreint
perm-view,reader,lecteur
perm-edit,editor,éditeur
perm-share,sharer,partageur
perm-owner,owner,propriétaire
sync-owner,Owner,Propriétaire
sync-synchronise,Synchronised,Synchronisé
sync-no-sync,Not synchronised,Non synchronisé
sync-edit-no-sync,Don't synchronise,Ne pas synchroniser
sync-edit-add-sync,Create a new synchronisation,Créer une nouvelle synchronisation
sync-edit-sync,Synchronise with,Synchroniser avec
sync-share,Share,Partage
sync-share-link,Permissions of people who have the link,Permissions des personnes possédant le lien
sync-share-name,Name,Nom
sync-share-perms,Permissions,Permissions
sync-share-type,Type,Type
sync-share-add-perm,Add permissions,Ajouter permissions
sync-error-edit-title,Synchronisation error, Erreur de synchronisation
sync-error-edit-message,An error occur while trying to synchronise.,Une erreur s'est produite lors de la synchronisation.
sync-deleted,Synchronisation deleted,Synchronisation supprimée
default-column-title,Column,Colonne
default-test-title,Test,Test
default-test-description,A test,Un test
eval-number-data,Number of data to do:,Nombre de donnée a faire :
skipped,(Skipped),(Passé)
empty-string,(empty),(vide)
number-columns,Number of column to show,Nombre de colonne à montrer
cookies,Cookies,Cookies
cookies-message,"Cookies and similar mechanism sont utilisées are used for parameter storage or used for the storage of user data like number of test, number of victories... Data are <b>stored by your navigatpr</b> and are <b>never transmit, stored and handle</b> by external servers.","Les cookies et processus ressemblant sont utilisées à des fins de stockage de paramètres ou de stockage des données d'utilisateur tels que les tests, le nombre de victoires... Ces données sont <b>stockées par votre navigateur</b> et ne sont <b>dans aucun cas transmis, stocker et traiter</b> par des serveurs externes."
cookies-accept,Accept and continue,Accepter et continuer
error-storage-c-title,Warning: compatibility,Attention: compatibilité
error-storage-c-message,"Your navigator isn't compatible with the feature « persistent storage ». Data <u>could</u> be removed by the navigator at any point, for example if the system need more space. So, think to export your data before exiting.","Vôtre navigateur n'est pas compatible avec la fonctionnalité « stockage persistent ». Les données <u>peuvent</u> être supprimées par le navigateur, notamment si le système d'exploitation manque de place. Pensez donc à exporter vos données avant de quitter."
error-storage-p-title,Warning: persistence,Attention: persistance
error-storage-p-message,"You have disallow persistent storage for this website. Data <u>could</u> be removed by the navigator at any point, for example if the system need more space. So, think to export your data before exiting and consider allowing persistent storage on this website.","Vous avez refusé le stockage persistent sur ce site web. Les données <u>peuvent</u> être supprimées par le navigateur, notamment si le système d'exploitation manque de place. Pensez donc à exporter vos données avant de quitter et à considérer autoriser le stockage persitant sur cette page web."
error-import-title,Import error,"Érreur d'importation"
error-import-message,"An error occur while importing this test. Make sure that it is the right file. If the error persist, please report the bug.","Une érreur s'est produite lors de l'importation de ce test. Vérifier que c'est le bon fichier. Si l'érreur persiste, merci de reporter le bogue."
error-export-all-title,Export error,Érreur d'exportation
error-export-all-message,"An error occur while exporting tests. If the issue persist, please report it.","Une érreur est survenue lors de l'exportation des tests. Si le problème persiste, merci de le reporter."
error-playable-title,Error: test incompatible,Erreur: test incompatible
error-playable-message,"This test isn't compatible with this page. Maybe it is missing column or data, edit it to fix that.","Ce test n'est pas compatible avec cette page. Peut-être qu'il lui manque des colonnes ou des données, éditez le pour résoudre le problème."
warning-erase-title,Erase,Écraser
warning-erase-message,"You are already editing a test. Do you want to lose all the changes and edit another test or continue editing the previous test ?","Vous êtes déjà en train d'éditer un test. Voulez perdre tout les changements et en éditer un autre ou continuer d'éditer l'ancien test ?"
warning-lose-changes-title,Lose changes,Perdre les changements
warning-lose-changes-message,"Do you want to quit without saving, all the changes will be lose ?","Voulez vous partir sans sauvegarder, tous les changements seront supprimés ?"
delete-test-title,Delete this test,Supprimer ce test
delete-test-message,Are you sure to delete this test ? This action is irreversible.,Êtes vous sûr de vouloir supprimer ce test ? Cette action est irréversible.
column-can-show,Can be reveal,Peut être révélée
column-can-ask,Can be asked,Peut être demandée
column-string-case-sensitive,Case sensitive,Sensible aux majuscules
column-string-trim-spaces,Remove useless spaces (start and end spaces),Supprimer les espaces inutiles (espaces devant et derrières)
column-string-long,Multi-lines,Multi-lignes
file-type,Format,Format
export-warning-csv,This format doesn’t support all the features of the applications.,Ce format ne supporte pas toutes les fonctionnalités de l’application.
export-csv-column-name,Export the name of the columns,Exporter le nom des colonnes
export-csv-column-type,Export the type of the columns,Exporter le type des colonnes
export-all-test,Export all tests,Exporter tous les tests
export-all-filename,tests.dkl,tests.dkl
import-csv-column-name,Import the name of the columns,Importer le nom des colonnes
import-csv-column-type,Import the type of the columns,Importer le type des colonnes
import-url,Url,Url
import-tab-file,File,Fichier
import-tab-sync,Synchronised,Synchornisé
footer-diakoluo,"<img src=""/WebDiakoluo/res/img/favicon_no_background.svg"" class=""text-icon"" alt=""Diakôluô logo"">Diakôluô web application - <span class=""popup-parent popup-hover"" id=""version"">v<x-i18n key=""version""></x-i18n><x-i18n key=""id"" class=""popup-child""></span></x-i18n>","<img src=""/WebDiakoluo/res/img/favicon_no_background.svg"" class=""text-icon"" alt=""Diakôluô logo"">Diakôluô application web - <span class=""popup-parent popup-hover"" id=""version"">v<x-i18n key=""version""></x-i18n><x-i18n key=""id"" class=""popup-child""></span></x-i18n>"
footer-source-code,"<a href=""https://github.com/AntoninLoubiere/WebDiakoluo"" class=""open-new-icon"">Source code</a> by <a class=""open-new-icon"" href=""https://github.com/AntoninLoubiere""><b>Antonin LOUBIERE</b></a> under license <a href=""https://www.gnu.org/licenses/agpl-3.0.html"" class=""open-new-icon""><b>GNU APGL</b></a>.","<a class=""open-new-icon"" href=""https://github.com/AntoninLoubiere/WebDiakoluo"">Code source</a> par <a class=""open-new-icon"" href=""https://github.com/AntoninLoubiere""><b>Antonin LOUBIERE</b></a> sous license <a class=""open-new-icon"" href=""https://www.gnu.org/licenses/agpl-3.0.html""><b>GNU APGL</b></a>."
footer-hosted,"Hosted by <a href=""https://github.com"" class=""open-new-icon github-link""><b>GitHub</b></a>","Hébergé par <a class=""open-new-icon github-link"" href=""https://github.com""><b>GitHub</b></a>"
footer-about,About,À propos
footer-legal,Legals mentions,Mentions légales
footer-report-bug,Report a bug,Signaler un bogue
footer-request-feature,Request an improvement,Proposer une amélioration
title-index,Home page,Page principale
title-settings,Settings,Paramètres
title-about.html,About,À propos
title-legal.html,Legals mentions,Mentions légales
